,bizno,engentrnm,koraddr,korreprnm,empnum,sanupscd_kor,score,watchgrd,korentrnm,crigrd,watch_dcls_grdnm,ipodivcd,upchecd,cshflowgrd
0,2120219260.0,Geumsil JS Co.,서울 강동구 구천면로35길 40,전영순,0.0,가정용 직물제품 소매업,14.452595,80.0,금실제이에스,NR,휴폐업,92,780127,
1,1088138696.0,"Hamply Trade Co.,Ltd.",서울 동작구 등용로 110-1,이강옥,26.0,상품 종합 도매업,14.4151535,80.0,(주)햄플리무역,NR,휴폐업,92,162361,
2,1088130388.0,"Daehoa Gongye Co.,Ltd.",경기 부천시 원미구 춘의동 193,이동수,44.0,그 외 기타 달리 분류되지 않은 제품 제조업,13.936602,80.0,대화공예(주),,휴폐업,92,248946,
3,1271595432.0,Buseong Trading Co.,경기 동두천시 벌마들로 34-35,,0.0,모피 및 가죽 제조업,14.164303,80.0,부성무역,NR,휴폐업,92,A77899,
4,1078133209.0,"Maeil Transportation Co.,Ltd.",서울 영등포구 대림로29길 43,김효경,0.0,그 외 기타 운송관련 서비스업,14.554201,80.0,매일육운(주),NR,휴폐업,92,210382,
5,2270261718.0,Daeseong Celtic Gas Boiler Co.,강원 속초시 중앙로 197,차식,0.0,통신기기 소매업,14.554201,80.0,대성쎌틱가스보일러,NR,휴폐업,92,B38244,
6,1078119468.0,"Yeji Trading Co.,Ltd.",서울 영등포구 도림로 216,신정자,7.0,"가죽, 가방 및 유사제품 제조업",14.418255,80.0,(주)예지무역,,휴폐업,92,075035,
7,1078119925.0,"Sejin Toy Co.,Ltd.",서울 영등포구 대림2동 709-13,박병희,202.0,"인형, 장난감 및 오락용품 제조업",13.992825,80.0,(주)세진완구,NR,휴폐업,92,063126,
8,1078120742.0,"Donggook Mijang Co.,Ltd.",서울 구로구 구로3동 1130-52,오규배,0.0,판지 상자 및 용기 제조업,13.901844,80.0,(주)동국미장,NR,휴폐업,92,523299,
9,1168202196.0,Korea Coal Corporation,강원 원주시 배울로 85,원경환,1380.0,석탄 광업,14.164303,40.0,대한석탄공사,AA+,주의,70,001171,CF5
10,1088142415.0,"NH Co.,Ltd.",서울 영등포구 도림로 291,박영식,0.0,기록매체 복제업,14.335773,80.0,(주)엔에이취,NR,휴폐업,92,528937,
11,1088142642.0,"Hanmaeum Distribution Co.,Ltd.",서울 동작구 신대방길 88,도의수,6.0,음ㆍ식료품 위주 종합 소매업,14.164303,80.0,한마음유통(주),NR,휴폐업,92,139521,
12,1048202591.0,The Bank Of Korea,서울 중구 남대문로 39,이창용,2219.0,중앙은행,14.038374,10.0,한국은행,A-,정상,80,964476,
13,6090662348.0,Boksan Machine Co.,창원시 창원공업기지차룡단지,김항복,0.0,,13.992825,80.0,복산기계,NR,휴폐업,92,898345,
14,1053012550.0,Keumboolhwan Pillbang,"서울 마포구 와우산로 122, 501호",장영삼,20.0,,14.554201,80.0,금불환필방,,휴폐업,92,409715,
15,1070668152.0,HEUNGGUK STEEL INDUSTRIAL CO.,"서울 구로구 경인로65길 16-15, 1115동 2호",임흥국,,그 외 기타 협회 및 단체,14.540459,80.0,흥국철강상사,NR,휴폐업,92,EM1564,
16,6160110111.0,Sinchunji Development  Co.,제주 제주시 서문로 71-1,김성수,0.0,그 외 기타 달리 분류되지 않은 개인 서비스업,14.554201,80.0,신천지개발,,휴폐업,92,288371,
17,1120863871.0,Samyang Industrial Co.,서울 관악구 봉천로 522,김용석,0.0,,14.554201,80.0,삼양상사,NR,휴폐업,92,A77497,
18,1268901999.0,Jogye Order of Korean Buddhism Sinreuksa,경기 여주시 신륵사길 73,박일배,,불교 단체,14.554201,80.0,대한불교조계종신륵사,NR,휴폐업,92,GZ8463,
19,4148900086.0,Muwisa Temple,전남 강진군 성전면 무위사로 308,구희춘,,불교 단체,14.554201,80.0,무위사,NR,휴폐업,92,D74093,
20,1238903912.0,DAEHANBULGYOJOGYEJONGYONGHWASA CO.,경기 의왕시 갈미1로 75,최경효,,종교 단체,14.038374,80.0,대한불교조계종용화사,NR,휴폐업,92,D19019,
21,2228101836.0,"DONGHAESEOKYU CO.,LTD.",강원 동해시 일출로 92-20,김정곤,,기타 석유정제물 재처리업,14.038374,80.0,(주)동해석유,NR,휴폐업,92,296422,
22,6183663896.0,Gumho Industrial Co.,부산 기장군 정관면 모전리 317,김윤홍,0.0,철강선 제조업,13.992825,80.0,금호산업,NR,휴폐업,92,921375,
23,2028151098.0,"Yagin Trading Co.,Ltd.","서울 중구 명동9길 31, 604호",인정완,0.0,봉제의복 제조업,14.335773,80.0,(주)야긴무역,,휴폐업,92,050257,
24,1390687078.0,Haedong Metal Co.,인천 남동구 만월북로2번길 11-6,김상희,0.0,일반철물 제조업,14.335773,80.0,해동금속,NR,휴폐업,92,A45469,
25,2138186578.0,"Ana Trading Co.,Ltd.",서울 강남구 도곡로 126,조부연,4.0,모피 및 가죽 제조업,14.554201,80.0,아나무역(주),NR,휴폐업,92,028409,
26,2054172738.0,Seed Corporation,서울 동대문구 한천로 86,김순,19.0,방적 및 가공사 제조업,14.4151535,80.0,씨트상사,,휴폐업,92,482439,
27,1320661174.0,Keumpoong Cotton Products Co.,경기 남양주시 별내면 화접리 602,조석준,25.0,봉제의복 제조업,14.418255,80.0,금풍직물공업사,,휴폐업,92,410853,
28,1062463065.0,Korea Pacific Trading Co.,서울 용산구 청파로 91,편재근,5.0,,14.418255,80.0,코리아퍼시픽상사,,휴폐업,92,000393,
29,2141897813.0,JUNGANGHALEETAEK CO.,"서울 서초구 남부순환로356길 95-3, 403호",박종황,5.0,,13.901844,80.0,중앙하이텍,NR,휴폐업,92,046304,
30,1084064814.0,Gangjin Construction Co.,서울 영등포구 신풍로 122,이강국,0.0,"골재, 벽돌 및 시멘트 도매업",14.554201,80.0,강진건설,NR,휴폐업,92,A50639,
